tfopwg_disp,,ra,,dec,pl_orbper,,,,pl_trandurh,,,,pl_trandep,,,,pl_rade,,,,pl_insol,,,,pl_eqt,,,,st_teff,,,,st_rad
FALSE POSITIVE,,109.950322,,-11.942687,1.27997,,,,2.425,,,,790,,,,285.674,,,,379.23,,,,1229,,,,3435,,,,102.03
FALSE POSITIVE,,117.470237,,-16.023413,3.1510408,,,,2.9657375,,,,2025.107272,,,,297.1117262,,,,2194.07288,,,,1745.550878,,,,4240,,,,49.1612
FALSE POSITIVE,,115.280389,,-26.070939,2.67425,,,,3.779,,,,1920,,,,178.665,,,,2364.93,,,,1942,,,,4770,,,,36.51
FALSE POSITIVE,,113.454773,,-61.292453,1.5521101,,,,2.699,,,,5430,,,,208.489,,,,5297.55,,,,2376,,,,4997.1,,,,12.23
FALSE POSITIVE,,113.047662,,-68.012289,13.17741,,,,2.75,,,,1750,,,,49.318,,,,44.0738,,,,717,,,,5027.7,,,,10.05
FALSE POSITIVE,,104.479884,,5.748028,0.56708,,,,1.253,,,,980,,,,29.9735,,,,3660,,,,2166,,,,5274,,,,9.78
FALSE POSITIVE,,220.350188,,-33.950483,3.3513304,,,,2.739,,,,400,,,,17.7728,,,,295.994,,,,1155,,,,4886,,,,8.71
CANDIDATE,,99.411971,,-57.087293,9.5160627,,,,1.832,,,,487,,,,17.807,,,,23.0984,,,,610,,,,4481.6,,,,8.18
FALSE POSITIVE,,122.257466,,-30.787939,1.07242,,,,1.996,,,,632.189,,,,22.0397,,,,1909.78,,,,1841,,,,5001.6,,,,7.97
FALSE POSITIVE,,117.121112,,-19.340207,1.1355457,,,,2.63,,,,393.5764226,,,,21.5263238,,,,47965.7,,,,4122,,,,10262,,,,7.03693
FALSE POSITIVE,,122.895964,,-27.971896,1.3730466,,,,2.5708515,,,,1301.506534,,,,42.1479417,,,,3160.632833,,,,1912.331864,,,,4897,,,,6.7996101
FALSE POSITIVE,,319.144978,,58.772809,10.9554897,,,,6.772,,,,370,,,,22.7316,,,,20081.6,,,,3316,,,,8522,,,,6.79
FALSE POSITIVE,,302.220069,,38.245221,4.03349,,,,2.684,,,,1530,,,,23.4514,,,,5512.68,,,,2400,,,,11348,,,,6.37
FALSE POSITIVE,,128.61421,,-61.488262,2.55555,,,,1.566,,,,340,,,,11.5901,,,,3520.68,,,,2145,,,,10037,,,,6.04
CANDIDATE,,39.891102,,62.433306,3.581083,,,,3.454,,,,760,,,,17.1017,,,,6158.1,,,,2467,,,,9503,,,,5.96
FALSE POSITIVE,,127.222618,,-20.950461,2.5183846,,,,2.1596206,,,,616.0227482,,,,21.1354407,,,,30104.88344,,,,3359.533585,,,,10817,,,,5.7888398
CANDIDATE,,295.256495,,-27.859275,3.3243,,,,2.337,,,,1150,,,,21.7252,,,,181.989,,,,1023,,,,4779.7,,,,5.76
FALSE POSITIVE,,325.228645,,55.06675,9.0330414,,,,5.965,,,,227,,,,7.35267,,,,2661.86,,,,2001,,,,7527,,,,5.64
CANDIDATE,,110.7852,,25.558752,6.1539077,,,,2.115,,,,1636,,,,22.3615,,,,114.033,,,,910,,,,5234.4,,,,5.63
FALSE POSITIVE,,356.038387,,26.42567,2.7218347,,,,1.663,,,,560,,,,14.1545,,,,616.895,,,,1388,,,,4758,,,,5.53
FALSE POSITIVE,,313.536475,,37.789356,1.19888,,,,1.558,,,,1169.03,,,,20.5525,,,,3694.96,,,,2172,,,,7315,,,,5.46
FALSE POSITIVE,,93.921031,,11.832621,2.7809,,,,1.803,,,,2990,,,,56.3202,,,,26869.1,,,,3566,,,,11246,,,,5.45
CANDIDATE,,175.33562,,-78.163008,14.6483913,,,,2.352,,,,1323,,,,33.3954,,,,93.0211,,,,865,,,,4851.6,,,,5.42
FALSE POSITIVE,,23.466893,,45.010329,0.783879,,,,1.4870966,,,,274.5156373,,,,9.6813253,,,,6087.06825,,,,2252.795616,,,,4975,,,,5.3874698
CANDIDATE,,91.216391,,8.365173,2.682814,,,,0.987,,,,1080,,,,23.5198,,,,852.855,,,,1505,,,,8528,,,,5.28
FALSE POSITIVE,,310.331372,,82.435302,4.27808,,,,1.9576205,,,,1096.601354,,,,17.8096125,,,,528.551257,,,,1222.901639,,,,4772,,,,5.2787499
